Edition,Gender,Sport,Medal_Bronze,Medal_Gold,Medal_Silver,Total_Medals
1924,Women,Swimming,9,10,10,29
1924,Women,Tennis,4,4,4,12
1928,Men,Artistic_G,14,14,14,42
1928,Men,Athletics,28,28,28,84
1928,Men,Boxing,8,8,8,24
1928,Men,Cycling_Road,4,4,4,12
1928,Men,Cycling_Track,9,9,9,27
1928,Men,Diving,2,2,2,6
1928,Men,Dressage,4,4,4,12
1928,Men,Eventing,4,4,4,12
1928,Men,Fencing,14,15,15,44
1928,Men,Football,22,22,22,66
1928,Men,Hockey,22,15,22,59
1928,Men,Jumping,4,4,4,12
1928,Men,Modern_Pentath,1,1,1,3
1928,Men,Rowing,26,26,26,78
1928,Men,Sailing,12,5,12,29
1928,Men,Swimming,9,9,9,27
1928,Men,Water_polo,9,8,7,24
1928,Men,Weightlifting,5,6,4,15
1928,Men,Wrestling_Free,7,7,7,21
1928,Men,Wrestling_Gre-R,6,6,6,18
1928,Women,Artistic_G,12,12,12,36
1928,Women,Athletics,8,8,8,24
1928,Women,Diving,2,2,2,6
1928,Women,Fencing,1,1,1,3
1928,Women,Jumping,1,0,0,1
1928,Women,Sailing,0,1,0,1
1928,Women,Swimming,8,8,8,24
1932,Men,Artistic_G,15,15,15,45
1932,Men,Athletics,29,29,29,87
1932,Men,Boxing,8,8,8,24
1932,Men,Cycling_Road,4,4,4,12
1932,Men,Cycling_Track,8,8,8,24
1932,Men,Diving,2,2,2,6
1932,Men,Dressage,4,4,4,12
1932,Men,Eventing,1,4,4,9
1932,Men,Fencing,21,21,20,62
1932,Men,Hockey,12,11,11,34
1932,Men,Jumping,1,1,1,3
1932,Men,Modern_Pentath,1,1,1,3
1932,Men,Rowing,26,26,26,78
1932,Men,Sailing,7,19,15,41
1932,Men,Shooting,2,2,2,6
1932,Men,Swimming,9,9,9,27
1932,Men,Water_polo,7,10,8,25
1932,Men,Weightlifting,5,5,5,15
1932,Men,Wrestling_Free,7,7,7,21
1932,Men,Wrestling_Gre-R,7,7,7,21
1932,Women,Athletics,9,9,9,27
1932,Women,Diving,2,2,2,6
1932,Women,Fencing,1,1,1,3
1932,Women,Swimming,8,8,8,24
1936,Men,Artistic_G,16,15,15,46
1936,Men,Athletics,29,29,29,87
1936,Men,Basketball,11,14,9,34
1936,Men,Boxing,8,8,8,24
1936,Men,Canoe___Kayak_F,14,14,14,42
1936,Men,Cycling_Road,4,4,4,12
1936,Men,Cycling_Track,8,8,8,24
1936,Men,Diving,2,2,2,6
1936,Men,Dressage,4,4,4,12
1936,Men,Eventing,4,4,4,12
1936,Men,Fencing,21,21,21,63
1936,Men,Football,14,14,13,41
1936,Men,Handball,17,22,22,61
1936,Men,Hockey,12,19,22,53
1936,Men,Jumping,5,5,5,15
1936,Men,Modern_Pentath,1,1,1,3
1936,Men,Polo,4,4,4,12
1936,Men,Rowing,26,26,26,78
1936,Men,Sailing,14,14,14,42
1936,Men,Shooting,3,3,3,9
1936,Men,Swimming,9,9,9,27
1936,Men,Water_polo,9,11,11,31
1936,Men,Weightlifting,5,6,4,15
1936,Men,Wrestling_Free,7,7,7,21
1936,Men,Wrestling_Gre-R,7,7,7,21
1936,Women,Artistic_G,8,8,8,24
1936,Women,Athletics,9,9,9,27
1936,Women,Diving,2,2,2,6
1936,Women,Fencing,1,1,1,3
1936,Women,Swimming,8,8,8,24
1948,Men,Artistic_G,17,17,14,48
1948,Men,Athletics,30,30,30,90
1948,Men,Basketball,12,14,14,40
1948,Men,Boxing,8,8,8,24
1948,Men,Canoe___Kayak_F,12,12,12,36
1948,Men,Cycling_Road,4,4,4,12
1948,Men,Cycling_Track,8,8,8,24
1948,Men,Diving,2,2,2,6
1948,Men,Dressage,4,4,4,12
1948,Men,Eventing,4,4,4,12
1948,Men,Fencing,21,21,21,63
1948,Men,Football,14,12,15,41
1948,Men,Hockey,12,20,12,44
1948,Men,Jumping,4,4,4,12
1948,Men,Modern_Pentath,1,1,1,3
1948,Men,Rowing,26,26,26,78
1948,Men,Sailing,13,13,14,40
1948,Men,Shooting,4,4,4,12
1948,Men,Swimming,9,9,9,27
1948,Men,Water_polo,9,9,10,28
1948,Men,Weightlifting,6,6,6,18
1948,Men,Wrestling_Free,8,8,8,24
1948,Men,Wrestling_Gre-R,8,8,8,24
1948,Women,Artistic_G,8,8,8,24
1948,Women,Athletics,12,12,12,36
1948,Women,Canoe___Kayak_F,1,1,1,3
1948,Women,Diving,2,2,2,6
1948,Women,Fencing,1,1,1,3
1948,Women,Swimming,8,8,8,24
1952,Men,Artistic_G,14,15,18,47
1952,Men,Athletics,30,30,30,90
1952,Men,Basketball,12,14,14,40
1952,Men,Boxing,20,10,10,40
1952,Men,Canoe___Kayak_F,12,12,12,36
1952,Men,Cycling_Road,4,4,4,12
1952,Men,Cycling_Track,8,8,8,24
1952,Men,Diving,2,2,2,6
1952,Men,Dressage,3,4,3,10
1952,Men,Eventing,4,4,4,12
1952,Men,Fencing,21,21,21,63
1952,Men,Football,12,15,11,38
1952,Men,Hockey,13,14,11,38
1952,Men,Jumping,4,4,4,12
1952,Men,Modern_Pentath,4,4,4,12
1952,Men,Rowing,26,26,26,78
1952,Men,Sailing,14,15,13,42
1952,Men,Shooting,7,7,7,21
1952,Men,Swimming,9,9,9,27
1952,Men,Water_polo,11,13,9,33
1952,Men,Weightlifting,7,7,7,21
1952,Men,Wrestling_Free,8,8,8,24
1952,Men,Wrestling_Gre-R,8,8,8,24
1952,Women,Artistic_G,21,21,21,63
1952,Women,Athletics,12,12,12,36
1952,Women,Canoe___Kayak_F,1,1,1,3
1952,Women,Diving,2,2,2,6
1952,Women,Dressage,1,0,1,2
1952,Women,Fencing,1,1,1,3
1952,Women,Sailing,0,1,1,2
1952,Women,Swimming,8,8,8,24
1956,Men,Artistic_G,14,14,14,42
1956,Men,Athletics,31,30,30,91
1956,Men,Basketball,12,12,12,36
1956,Men,Boxing,20,10,10,40
1956,Men,Canoe___Kayak_F,12,12,12,36
1956,Men,Cycling_Road,4,4,4,12
1956,Men,Cycling_Track,8,8,8,24
1956,Men,Diving,2,2,2,6
1956,Men,Dressage,3,4,0,7
1956,Men,Eventing,4,4,4,12
1956,Men,Fencing,19,21,21,61
1956,Men,Football,14,18,14,46
1956,Men,Hockey,11,17,14,42
1956,Men,Jumping,3,4,4,11
1956,Men,Modern_Pentath,4,4,4,12
1956,Men,Rowing,26,26,26,78
1956,Men,Sailing,11,11,12,34
1956,Men,Shooting,7,7,7,21
1956,Men,Swimming,10,10,10,30
1956,Men,Water_polo,10,11,8,29
1956,Men,Weightlifting,7,7,7,21
1956,Men,Wrestling_Free,8,8,8,24
1956,Men,Wrestling_Gre-R,8,8,8,24
1956,Women,Artistic_G,23,18,17,58
1956,Women,Athletics,11,12,13,36
1956,Women,Canoe___Kayak_F,1,1,1,3
1956,Women,Diving,2,2,2,6
1956,Women,Dressage,1,0,6,7
1956,Women,Eventing,0,0,2,2
1956,Women,Fencing,1,1,1,3
1956,Women,Jumping,1,3,0,4
1956,Women,Swimming,9,9,9,27
1960,Men,Artistic_G,14,15,11,40
1960,Men,Athletics,30,30,30,90
1960,Men,Basketball,12,12,12,36
1960,Men,Boxing,20,10,10,40
1960,Men,Canoe___Kayak_F,10,10,10,30
1960,Men,Cycling_Road,5,5,5,15
1960,Men,Cycling_Track,8,8,8,24
1960,Men,Diving,2,2,2,6
1960,Men,Dressage,1,1,1,3
1960,Men,Eventing,4,4,4,12
1960,Men,Fencing,17,20,20,57
1960,Men,Football,17,16,12,45
1960,Men,Hockey,14,13,13,40
1960,Men,Jumping,4,4,4,12
1960,Men,Modern_Pentath,4,4,4,12
1960,Men,Rowing,26,26,26,78
1960,Men,Sailing,11,11,11,33
1960,Men,Shooting,6,6,6,18
1960,Men,Swimming,14,14,14,42
1960,Men,Water_polo,12,12,11,35
1960,Men,Weightlifting,7,7,7,21
1960,Men,Wrestling_Free,8,8,8,24
1960,Men,Wrestling_Gre-R,8,8,8,24
1960,Women,Artistic_G,11,11,11,33
1960,Women,Athletics,12,13,14,39
1960,Women,Canoe___Kayak_F,3,3,3,9
1960,Women,Diving,2,2,2,6
1960,Women,Fencing,6,7,6,19
1960,Women,Swimming,13,13,13,39
1964,Men,Artistic_G,11,13,16,40
1964,Men,Athletics,30,30,30,90
1964,Men,Basketball,12,12,12,36
1964,Men,Boxing,20,10,10,40
1964,Men,Canoe___Kayak_F,10,10,10,30
1964,Men,Cycling_Road,5,5,5,15
1964,Men,Cycling_Track,9,9,9,27
1964,Men,Diving,2,2,2,6
1964,Men,Dressage,4,4,3,11
1964,Men,Eventing,4,4,4,12
1964,Men,Fencing,18,18,18,54
1964,Men,Football,19,14,17,50
1964,Men,Hockey,14,15,16,45
1964,Men,Judo,8,4,4,16
1964,Men,Jumping,4,4,3,11
1964,Men,Modern_Pentath,4,4,4,12
1964,Men,Rowing,26,26,26,78
1964,Men,Sailing,11,11,11,33
1964,Men,Shooting,6,6,6,18
1964,Men,Swimming,19,19,19,57
1964,Men,Volleyball,12,12,12,36
1964,Men,Water_polo,11,12,11,34
1964,Men,Weightlifting,7,7,7,21
1964,Men,Wrestling_Free,8,8,8,24
1964,Men,Wrestling_Gre-R,8,8,8,24
1964,Women,Artistic_G,10,11,12,33
1964,Women,Athletics,15,15,15,45
1964,Women,Canoe___Kayak_F,3,3,3,9
1964,Women,Diving,2,2,2,6
1964,Women,Dressage,0,0,1,1
1964,Women,Fencing,5,6,6,17
1964,Women,Jumping,0,0,1,1
1964,Women,Swimming,14,14,14,42
1964,Women,Volleyball,12,12,12,36
1968,Men,Artistic_G,13,14,12,39
1968,Men,Athletics,30,30,30,90
1968,Men,Basketball,12,12,12,36
1968,Men,Boxing,22,11,11,44
1968,Men,Canoe___Kayak_F,10,10,10,30
1968,Men,Cycling_Road,5,5,5,15
1968,Men,Cycling_Track,9,9,9,27
1968,Men,Diving,2,2,2,6
1968,Men,Dressage,3,3,3,9
1968,Men,Eventing,4,4,4,12
1968,Men,Fencing,18,18,18,54
1968,Men,Football,16,17,18,51
1968,Men,Hockey,15,13,14,42
1968,Men,Jumping,4,4,2,10
1968,Men,Modern_Pentath,4,4,4,12
1968,Men,Rowing,26,26,26,78
1968,Men,Sailing,11,11,11,33
1968,Men,Shooting,7,7,7,21
1968,Men,Swimming,24,24,24,72
1968,Men,Volleyball,12,12,12,36
1968,Men,Water_polo,11,11,11,33
1968,Men,Weightlifting,7,7,7,21
1968,Men,Wrestling_Free,8,8,8,24
1968,Men,Wrestling_Gre-R,8,8,8,24
1968,Women,Artistic_G,11,12,10,33
1968,Women,Athletics,15,15,15,45
1968,Women,Canoe___Kayak_F,3,3,3,9
1968,Women,Diving,2,2,2,6
1968,Women,Dressage,1,1,1,3
1968,Women,Fencing,6,6,6,18
1968,Women,Jumping,0,0,2,2
1968,Women,Swimming,20,20,20,60
1968,Women,Volleyball,12,12,12,36
1972,Men,Archery,1,1,1,3
1972,Men,Artistic_G,13,13,13,39
1972,Men,Athletics,30,30,30,90
1972,Men,Basketball,12,12,12,36
1972,Men,Boxing,22,11,11,44
1972,Men,Canoe___Kayak_F,10,10,10,30
1972,Men,Canoe___Kayak_S,4,4,4,12
1972,Men,Cycling_Road,0,5,5,10
1972,Men,Cycling_Track,9,9,9,27
1972,Men,Diving,2,2,2,6
1972,Men,Dressage,1,2,1,4
1972,Men,Eventing,5,3,5,13
1972,Men,Fencing,18,18,18,54
1972,Men,Football,36,17,17,70
1972,Men,Handball,15,14,16,45
1972,Men,Hockey,14,18,15,47
1972,Men,Judo,12,6,5,23
1972,Men,Jumping,5,5,3,13
1972,Men,Modern_Pentath,4,4,4,12
1972,Men,Rowing,26,26,26,78
1972,Men,Sailing,13,13,13,39
1972,Men,Shooting,8,8,8,24
1972,Men,Swimming,24,24,24,72
1972,Men,Volleyball,12,12,12,36
1972,Men,Water_polo,11,11,11,33
1972,Men,Weightlifting,9,9,9,27
1972,Men,Wrestling_Free,10,10,10,30
1972,Men,Wrestling_Gre-R,10,10,10,30
1972,Women,Archery,1,1,1,3
1972,Women,Artistic_G,10,11,12,33
1972,Women,Athletics,20,20,20,60
1972,Women,Canoe___Kayak_F,3,3,3,9
1972,Women,Canoe___Kayak_S,1,1,1,3
1972,Women,Diving,2,2,2,6
1972,Women,Dressage,3,2,3,8
1972,Women,Eventing,0,2,0,2
1972,Women,Fencing,5,6,6,17
1972,Women,Jumping,0,0,2,2
1972,Women,Swimming,20,20,20,60
1972,Women,Volleyball,11,12,12,35
1976,Men,Archery,1,1,1,3
1976,Men,Artistic_G,15,13,13,41
1976,Men,Athletics,29,29,29,87
1976,Men,Basketball,12,12,12,36
1976,Men,Boxing,22,11,11,44
1976,Men,Canoe___Kayak_F,16,16,16,48
1976,Men,Cycling_Road,5,5,5,15
1976,Men,Cycling_Track,7,7,7,21
1976,Men,Diving,2,2,2,6
1976,Men,Dressage,1,2,2,5
1976,Men,Eventing,5,4,5,14
1976,Men,Fencing,18,18,17,53
1976,Men,Football,17,17,17,51
1976,Men,Handball,14,14,14,42
1976,Men,Hockey,16,16,16,48
1976,Men,Judo,12,6,6,24
1976,Men,Jumping,5,5,5,15
1976,Men,Modern_Pentath,4,4,4,12
1976,Men,Rowing,30,30,30,90
1976,Men,Sailing,12,12,12,36
1976,Men,Shooting,7,7,6,20
1976,Men,Swimming,19,19,19,57
1976,Men,Volleyball,12,12,12,36
1976,Men,Water_polo,11,11,11,33
1976,Men,Weightlifting,9,9,9,27
1976,Men,Wrestling_Free,10,10,10,30
1976,Men,Wrestling_Gre-R,10,10,10,30
1976,Women,Archery,1,1,1,3
1976,Women,Artistic_G,10,11,12,33
1976,Women,Athletics,20,20,20,60
1976,Women,Basketball,12,12,12,36
1976,Women,Canoe___Kayak_F,3,3,3,9
1976,Women,Diving,2,2,2,6
1976,Women,Dressage,3,2,2,7
1976,Women,Eventing,0,1,0,1
1976,Women,Fencing,6,6,6,18
1976,Women,Handball,14,14,14,42
1976,Women,Rowing,24,24,24,72
1976,Women,Shooting,0,0,1,1
1976,Women,Swimming,19,19,19,57
1976,Women,Volleyball,12,12,12,36
1980,Men,Archery,1,1,1,3
1980,Men,Artistic_G,13,13,13,39
1980,Men,Athletics,29,30,31,90
1980,Men,Basketball,12,12,12,36
1980,Men,Boxing,22,11,11,44
1980,Men,Canoe___Kayak_F,16,16,16,48
1980,Men,Cycling_Road,5,5,5,15
1980,Men,Cycling_Track,7,7,7,21
1980,Men,Diving,2,2,2,6
1980,Men,Dressage,6,4,7,17
1980,Men,Eventing,6,9,4,19
1980,Men,Fencing,16,18,18,52
1980,Men,Football,17,17,17,51
1980,Men,Handball,14,14,14,42
1980,Men,Hockey,16,16,16,48
1980,Men,Judo,16,8,8,32
1980,Men,Jumping,5,9,6,20
1980,Men,Modern_Pentath,4,4,4,12
1980,Men,Rowing,30,30,30,90
1980,Men,Sailing,12,12,12,36
1980,Men,Shooting,7,7,7,21
1980,Men,Swimming,19,19,19,57
1980,Men,Volleyball,12,12,12,36
1980,Men,Water_polo,11,11,11,33
1980,Men,Weightlifting,10,10,10,30
1980,Men,Wrestling_Free,10,10,10,30
1980,Men,Wrestling_Gre-R,10,10,10,30
1980,Women,Archery,1,1,1,3
1980,Women,Artistic_G,13,12,11,36
1980,Women,Athletics,20,20,20,60
1980,Women,Basketball,12,12,12,36
1980,Women,Canoe___Kayak_F,3,3,3,9
1980,Women,Diving,2,2,2,6
1980,Women,Dressage,0,2,0,2
1980,Women,Eventing,1,0,2,3
1980,Women,Fencing,6,6,6,18
1980,Women,Handball,14,14,14,42
1980,Women,Hockey,16,16,16,48
1980,Women,Jumping,1,0,0,1
1980,Women,Rowing,24,24,24,72
1980,Women,Swimming,19,19,19,57
1980,Women,Volleyball,12,12,12,36
1984,Men,Archery,1,1,1,3
1984,Men,Artistic_G,13,15,14,42
1984,Men,Athletics,31,30,30,91
1984,Men,Basketball,12,12,12,36
1984,Men,Boxing,24,12,12,48
1984,Men,Canoe___Kayak_F,16,16,16,48
1984,Men,Cycling_Road,5,5,5,15
1984,Men,Cycling_Track,8,8,8,24
1984,Men,Diving,2,2,2,6
1984,Men,Dressage,3,5,1,9
1984,Men,Eventing,3,4,1,8
1984,Men,Fencing,18,18,18,54
1984,Men,Football,17,17,17,51
1984,Men,Handball,15,14,15,44
1984,Men,Hockey,16,16,16,48
1984,Men,Judo,16,8,8,32
1984,Men,Jumping,4,3,5,12
1984,Men,Modern_Pentath,4,4,4,12
1984,Men,Rowing,30,30,30,90
1984,Men,Sailing,13,13,13,39
1984,Men,Shooting,8,8,8,24
1984,Men,Swimming,24,24,24,72
1984,Men,Volleyball,12,12,12,36
1984,Men,Water_polo,13,13,13,39
1984,Men,Weightlifting,10,10,10,30
1984,Men,Wrestling_Free,10,10,10,30
1984,Men,Wrestling_Gre-R,10,10,10,30
1984,Women,Archery,1,1,1,3
1984,Women,Artistic_G,11,13,9,33
1984,Women,Athletics,24,23,23,70
1984,Women,Basketball,12,12,12,36
1984,Women,Canoe___Kayak_F,7,7,7,21
1984,Women,Cycling_Road,1,1,1,3
1984,Women,Diving,2,2,2,6
1984,Women,Dressage,3,0,5,8
1984,Women,Eventing,2,1,4,7
1984,Women,Fencing,6,6,6,18
1984,Women,Handball,13,15,13,41
1984,Women,Hockey,16,16,16,48
1984,Women,Jumping,1,2,0,3
1984,Women,Rhythmic_G,1,1,1,3
1984,Women,Rowing,24,24,24,72
1984,Women,Shooting,3,3,3,9
1984,Women,Swimming,20,21,19,60
1984,Women,Synchronized_S,3,3,3,9
1984,Women,Volleyball,12,12,12,36
1988,Men,Archery,4,4,4,12
1988,Men,Artistic_G,14,17,10,41
1988,Men,Athletics,31,30,30,91
1988,Men,Basketball,12,12,12,36
1988,Men,Boxing,24,12,12,48
1988,Men,Canoe___Kayak_F,16,16,16,48
1988,Men,Cycling_Road,5,5,5,15
1988,Men,Cycling_Track,8,8,8,24
1988,Men,Diving,2,2,2,6
1988,Men,Dressage,1,1,3,5
1988,Men,Eventing,2,5,3,10
1988,Men,Fencing,18,18,18,54
1988,Men,Football,20,20,21,61
1988,Men,Handball,15,14,13,42
1988,Men,Hockey,16,16,16,48
1988,Men,Judo,14,7,7,28
1988,Men,Jumping,5,5,3,13
1988,Men,Modern_Pentath,4,4,4,12
1988,Men,Rowing,30,30,30,90
1988,Men,Sailing,13,13,13,39
1988,Men,Shooting,9,9,9,27
1988,Men,Swimming,25,25,25,75
1988,Men,Table_Tennis,3,3,3,9
1988,Men,Tennis,6,3,3,12
1988,Men,Volleyball,12,12,12,36
1988,Men,Water_polo,13,13,13,39
1988,Men,Weightlifting,10,10,10,30
1988,Men,Wrestling_Free,10,10,10,30
1988,Men,Wrestling_Gre-R,10,10,10,30
1988,Women,Archery,4,4,4,12
1988,Women,Artistic_G,12,11,11,34
1988,Women,Athletics,24,24,24,72
1988,Women,Basketball,12,12,12,36
1988,Women,Canoe___Kayak_F,7,7,7,21
1988,Women,Cycling_Road,1,1,1,3
1988,Women,Cycling_Track,1,1,1,3
1988,Women,Diving,2,2,2,6
1988,Women,Dressage,4,4,2,10
1988,Women,Eventing,3,0,2,5
1988,Women,Fencing,6,6,6,18
1988,Women,Handball,15,12,15,42
1988,Women,Hockey,16,16,16,48
1988,Women,Jumping,0,0,2,2
1988,Women,Rhythmic_G,1,1,1,3
1988,Women,Rowing,23,23,23,69
1988,Women,Sailing,2,2,2,6
1988,Women,Shooting,4,4,4,12
1988,Women,Swimming,22,21,24,67
1988,Women,Synchronized_S,3,3,3,9
1988,Women,Table_Tennis,3,3,3,9
1988,Women,Tennis,6,3,3,12
1988,Women,Volleyball,12,12,12,36
1992,Men,Archery,4,4,4,12
1992,Men,Artistic_G,14,14,14,42
1992,Men,Athletics,34,33,31,98
1992,Men,Badminton,6,3,3,12
1992,Men,Baseball,20,20,20,60
1992,Men,Basketball,12,12,12,36
1992,Men,Boxing,24,12,12,48
1992,Men,Canoe___Kayak_F,16,16,16,48
1992,Men,Canoe___Kayak_S,4,4,4,12
1992,Men,Cycling_Road,5,5,5,15
1992,Men,Cycling_Track,9,9,8,26
1992,Men,Diving,2,2,2,6
1992,Men,Dressage,3,1,0,4
1992,Men,Eventing,5,4,4,13
1992,Men,Fencing,18,18,18,54
1992,Men,Football,13,12,12,37
1992,Men,Handball,16,12,16,44
1992,Men,Hockey,16,16,16,48
1992,Men,Judo,14,7,7,28
1992,Men,Jumping,5,5,5,15
1992,Men,Modern_Pentath,4,4,4,12
1992,Men,Rowing,30,30,30,90
1992,Men,Sailing,13,13,13,39
1992,Men,Shooting,9,8,9,26
1992,Men,Swimming,30,33,30,93
1992,Men,Table_Tennis,6,3,3,12
1992,Men,Tennis,6,3,3,12
1992,Men,Volleyball,12,12,12,36
1992,Men,Water_polo,12,13,13,38
1992,Men,Weightlifting,9,10,10,29
1992,Men,Wrestling_Free,10,10,10,30
1992,Men,Wrestling_Gre-R,10,10,10,30
1992,Women,Archery,4,4,4,12
1992,Women,Artistic_G,12,12,11,35
1992,Women,Athletics,25,28,27,80
1992,Women,Badminton,6,3,3,12
1992,Women,Basketball,12,12,12,36
1992,Women,Canoe___Kayak_F,7,7,7,21
1992,Women,Canoe___Kayak_S,1,1,1,3
1992,Women,Cycling_Road,1,1,1,3
1992,Women,Cycling_Track,2,2,2,6
1992,Women,Diving,2,2,2,6
1992,Women,Dressage,2,4,5,11
